Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Profit Status,Sales Category
Standard Class,Consumer,United States,Kent,Washington,98031,West,Technology,Phones,43.60,5.00,0.20,4.36,10.00,Profit,Low Sales
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Office Supplies,Supplies,3930.07,3.00,0.20,-786.01,-20.00,Loss,High Sales
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Office Supplies,Fasteners,2.30,1.00,0.20,0.78,33.75,Profit,Low Sales
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Technology,Phones,431.98,3.00,0.20,32.40,7.50,Profit,Low Sales
Standard Class,Consumer,United States,Round Rock,Texas,78664,Central,Technology,Accessories,41.72,7.00,0.20,5.74,13.75,Profit,Low Sales
Standard Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,104.23,7.00,0.00,28.14,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Storage,70.26,3.00,0.00,18.97,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Art,9.26,2.00,0.00,3.06,33.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Storage,105.98,2.00,0.00,4.24,4.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Fasteners,1.24,1.00,0.00,0.58,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Labels,20.70,2.00,0.00,9.94,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Paper,28.90,5.00,0.00,14.16,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Envelopes,27.18,1.00,0.00,12.77,47.00,Profit,Low Sales
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,465.18,3.00,0.00,120.95,26.00,Profit,Low Sales
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,36.63,3.00,0.00,9.89,27.00,Profit,Low Sales
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Storage,51.45,3.00,0.00,13.89,27.00,Profit,Low Sales
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Labels,7.83,3.00,0.00,3.60,46.00,Profit,Low Sales
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Art,35.40,5.00,0.00,13.45,38.00,Profit,Low Sales
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Paper,29.90,5.00,0.00,13.46,45.00,Profit,Low Sales
Standard Class,Consumer,United States,Roseville,Michigan,48066,Central,Office Supplies,Envelopes,17.48,2.00,0.00,8.22,47.00,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Paper,79.14,3.00,0.00,36.40,46.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Art,8.40,5.00,0.00,4.20,50.00,Profit,Low Sales
Same Day,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Chairs,498.26,7.00,0.00,134.53,27.00,Profit,Low Sales
Standard Class,Home Office,United States,Detroit,Michigan,48234,Central,Furniture,Bookcases,212.94,3.00,0.00,57.49,27.00,Profit,Low Sales
Second Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Appliances,706.86,7.00,0.00,197.92,28.00,Profit,High Sales
Second Class,Home Office,United States,Springfield,Missouri,65807,Central,Technology,Phones,114.95,5.00,0.00,2.30,2.00,Profit,Low Sales
Second Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,43.19,7.00,0.00,20.73,48.00,Profit,Low Sales
Second Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,166.44,3.00,0.00,79.89,48.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,36.56,5.00,0.20,12.80,35.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,186.14,6.00,0.20,60.50,32.50,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Bookcases,353.57,2.00,0.20,-44.20,-12.50,Loss,Low Sales
Standard Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Paper,81.98,2.00,0.00,40.17,49.00,Profit,Low Sales
Second Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,14.62,2.00,0.20,5.12,35.00,Profit,Low Sales
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,697.16,5.00,0.20,8.71,1.25,Profit,High Sales
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Furnishings,30.93,1.00,0.00,12.68,41.00,Profit,Low Sales
Second Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,27.50,7.00,0.20,9.28,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Texarkana,Arkansas,71854,South,Furniture,Chairs,605.34,6.00,0.00,145.28,24.00,Profit,High Sales
First Class,Consumer,United States,San Francisco,California,94110,West,Furniture,Tables,210.01,1.00,0.20,2.63,1.25,Profit,Low Sales
First Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Appliances,54.96,3.00,0.00,15.94,29.00,Profit,Low Sales
Standard Class,Consumer,United States,Columbia,Maryland,21044,East,Furniture,Furnishings,164.22,3.00,0.00,50.91,31.00,Profit,Low Sales
Standard Class,Consumer,United States,Columbia,Maryland,21044,East,Furniture,Bookcases,362.94,3.00,0.00,36.29,10.00,Profit,Low Sales
Standard Class,Consumer,United States,Columbia,Maryland,21044,East,Technology,Accessories,59.98,2.00,0.00,26.39,44.00,Profit,Low Sales
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Storage,332.94,3.00,0.00,6.66,2.00,Profit,Low Sales
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Binders,39.87,2.00,0.20,12.96,32.50,Profit,Low Sales
Second Class,Corporate,United States,Seattle,Washington,98115,West,Office Supplies,Supplies,13.68,2.00,0.00,3.69,27.00,Profit,Low Sales
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Office Supplies,Binders,3.32,3.00,0.80,-5.64,-170.00,Loss,Low Sales
First Class,Home Office,United States,Arlington,Virginia,22204,South,Office Supplies,Binders,10.44,1.00,0.00,4.80,46.00,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90032,West,Furniture,Tables,136.46,2.00,0.20,15.35,11.25,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90032,West,Technology,Phones,333.58,3.00,0.20,33.36,10.00,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,12.54,2.00,0.20,4.70,37.50,Profit,Low Sales
Standard Class,Consumer,United States,Frankfort,Illinois,60423,Central,Office Supplies,Appliances,20.77,8.00,0.80,-52.96,-255.00,Loss,Low Sales
Second Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,43.50,3.00,0.00,10.88,25.00,Profit,Low Sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Fasteners,12.58,4.00,0.20,4.09,32.50,Profit,Low Sales
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Accessories,249.95,5.00,0.00,20.00,8.00,Profit,Low Sales
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,49.12,4.00,0.00,23.09,47.00,Profit,Low Sales
First Class,Consumer,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Appliances,182.91,3.00,0.00,53.04,29.00,Profit,Low Sales
Second Class,Home Office,United States,Des Moines,Washington,98198,West,Office Supplies,Binders,107.65,2.00,0.20,33.64,31.25,Profit,Low Sales
Second Class,Corporate,United States,Bethlehem,Pennsylvania,18018,East,Furniture,Chairs,99.37,2.00,0.30,-7.10,-7.14,Loss,Low Sales
Second Class,Corporate,United States,Bethlehem,Pennsylvania,18018,East,Furniture,Furnishings,33.57,2.00,0.20,-5.45,-16.25,Loss,Low Sales
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Paper,10.56,2.00,0.00,4.75,45.00,Profit,Low Sales
Standard Class,Consumer,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Paper,38.88,6.00,0.00,18.66,48.00,Profit,Low Sales
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,35.20,5.00,0.00,16.54,47.00,Profit,Low Sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,45.53,3.00,0.20,15.93,35.00,Profit,Low Sales
First Class,Home Office,United States,Houston,Texas,77036,Central,Technology,Phones,196.78,3.00,0.20,14.76,7.50,Profit,Low Sales
First Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,Binders,2.92,2.00,0.80,-4.82,-165.00,Loss,Low Sales
First Class,Home Office,United States,Houston,Texas,77036,Central,Furniture,Tables,200.80,1.00,0.30,-22.95,-11.43,Loss,Low Sales
First Class,Home Office,United States,Houston,Texas,77036,Central,Technology,Accessories,46.69,4.00,0.20,-2.92,-6.25,Loss,Low Sales
First Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,Art,21.86,3.00,0.20,3.55,16.25,Profit,Low Sales
First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,11.76,2.00,0.00,5.76,49.00,Profit,Low Sales
First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,167.94,3.00,0.00,82.29,49.00,Profit,Low Sales
First Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Appliances,3.89,1.00,0.00,1.01,26.00,Profit,Low Sales
Standard Class,Home Office,United States,Yonkers,New York,10701,East,Technology,Machines,52.44,4.00,0.00,24.12,46.00,Profit,Low Sales
Same Day,Consumer,United States,San Francisco,California,94110,West,Furniture,Furnishings,32.36,4.00,0.00,11.65,36.00,Profit,Low Sales
Same Day,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Appliances,406.60,5.00,0.00,113.85,28.00,Profit,Low Sales
Same Day,Corporate,United States,Los Angeles,California,90008,West,Furniture,Furnishings,27.92,4.00,0.00,8.10,29.00,Profit,Low Sales
Same Day,Corporate,United States,Los Angeles,California,90008,West,Furniture,Tables,399.67,7.00,0.20,-14.99,-3.75,Loss,Low Sales
First Class,Home Office,United States,Miami,Florida,33142,South,Office Supplies,Binders,3.74,4.00,0.70,-2.62,-70.00,Loss,Low Sales
Second Class,Consumer,United States,Burlington,Vermont,5408,East,Furniture,Chairs,715.20,3.00,0.00,178.80,25.00,Profit,High Sales
Standard Class,Corporate,United States,Fayetteville,Arkansas,72701,South,Technology,Accessories,159.80,4.00,0.00,70.31,44.00,Profit,Low Sales
Standard Class,Corporate,United States,Fayetteville,Arkansas,72701,South,Technology,Accessories,44.75,5.00,0.00,8.50,19.00,Profit,Low Sales
Standard Class,Home Office,United States,Odessa,Texas,79762,Central,Furniture,Chairs,340.12,6.00,0.30,-9.72,-2.86,Loss,Low Sales
Standard Class,Consumer,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Paper,105.52,4.00,0.00,48.54,46.00,Profit,Low Sales
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,13.48,1.00,0.00,1.89,14.00,Profit,Low Sales
Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Storage,85.52,2.00,0.00,22.24,26.00,Profit,Low Sales
Standard Class,Corporate,United States,Rochester,Minnesota,55901,Central,Furniture,Furnishings,6.16,2.00,0.00,2.96,48.00,Profit,Low Sales
Standard Class,Corporate,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,36.84,3.00,0.00,17.31,47.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Storage,15.84,3.00,0.00,0.00,0.00,Loss,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Labels,44.40,3.00,0.00,22.20,50.00,Profit,Low Sales
First Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Envelopes,21.24,9.00,0.20,7.43,35.00,Profit,Low Sales
First Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,9.55,8.00,0.70,-7.32,-76.67,Loss,Low Sales
First Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,Bookcases,89.99,3.00,0.70,-152.98,-170.00,Loss,Low Sales
Standard Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,163.96,4.00,0.00,80.34,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,17.90,2.00,0.20,6.27,35.00,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Chairs,966.70,5.00,0.30,-13.81,-1.43,Loss,High Sales
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,182.11,6.00,0.20,61.46,33.75,Profit,Low Sales
First Class,Consumer,United States,Miami,Florida,33180,South,Office Supplies,Storage,4.46,1.00,0.20,0.33,7.50,Profit,Low Sales
Standard Class,Consumer,United States,Medina,Ohio,44256,East,Furniture,Tables,51.59,1.00,0.40,-15.48,-30.00,Loss,Low Sales
Standard Class,Corporate,United States,Roseville,Minnesota,55113,Central,Office Supplies,Labels,50.40,8.00,0.00,23.18,46.00,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,89.57,2.00,0.20,32.47,36.25,Profit,Low Sales
Standard Class,Consumer,United States,Yonkers,New York,10701,East,Furniture,Furnishings,14.89,1.00,0.00,4.02,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Yonkers,New York,10701,East,Technology,Phones,543.92,8.00,0.00,135.98,25.00,Profit,High Sales
First Class,Corporate,United States,San Diego,California,92037,West,Office Supplies,Envelopes,4.08,2.00,0.00,1.92,47.00,Profit,Low Sales
First Class,Corporate,United States,San Diego,California,92037,West,Office Supplies,Labels,18.90,3.00,0.00,8.69,46.00,Profit,Low Sales
Standard Class,Corporate,United States,Springfield,Virginia,22153,South,Furniture,Tables,2275.50,10.00,0.00,386.84,17.00,Profit,High Sales
Standard Class,Corporate,United States,Springfield,Virginia,22153,South,Technology,Accessories,1979.70,6.00,0.00,653.30,33.00,Profit,High Sales
Standard Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Labels,62.10,6.00,0.00,29.81,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Decatur,Illinois,62521,Central,Furniture,Chairs,37.30,2.00,0.30,-1.07,-2.86,Loss,Low Sales
First Class,Home Office,United States,Garland,Texas,75043,Central,Furniture,Furnishings,8.54,2.00,0.60,-7.48,-87.50,Loss,Low Sales
Standard Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,68.95,5.00,0.00,28.96,42.00,Profit,Low Sales
Standard Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Storage,296.37,3.00,0.00,80.02,27.00,Profit,Low Sales
Standard Class,Corporate,United States,Oceanside,New York,11572,East,Technology,Phones,39.98,2.00,0.00,2.00,5.00,Profit,Low Sales
First Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,191.06,3.00,0.30,-46.40,-24.29,Loss,Low Sales
First Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Art,13.04,5.00,0.20,3.91,30.00,Profit,Low Sales
First Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1525.19,6.00,0.80,-2287.78,-150.00,Loss,High Sales
Standard Class,Home Office,United States,Greenville,North Carolina,27834,South,Office Supplies,Labels,9.22,4.00,0.20,3.34,36.25,Profit,Low Sales
Standard Class,Home Office,United States,Greenville,North Carolina,27834,South,Office Supplies,Supplies,28.05,2.00,0.20,3.51,12.50,Profit,Low Sales
Standard Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,64.96,2.00,0.00,21.44,33.00,Profit,Low Sales
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Envelopes,30.56,4.00,0.00,14.97,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Greensboro,North Carolina,27405,South,Furniture,Chairs,187.06,9.00,0.20,11.69,6.25,Profit,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Furniture,Furnishings,11.81,2.00,0.20,1.33,11.25,Profit,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Furniture,Furnishings,9.66,1.00,0.20,1.57,16.25,Profit,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Office Supplies,Paper,20.74,4.00,0.20,7.26,35.00,Profit,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Office Supplies,Binders,27.36,3.00,0.70,-21.89,-80.00,Loss,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Furniture,Tables,2314.12,7.00,0.40,-1002.78,-43.33,Loss,High Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Office Supplies,Binders,34.24,4.00,0.70,-26.25,-76.67,Loss,Low Sales
First Class,Home Office,United States,Knoxville,Tennessee,37918,South,Furniture,Furnishings,19.76,2.00,0.20,5.93,30.00,Profit,Low Sales
Second Class,Consumer,United States,Grand Island,Nebraska,68801,Central,Office Supplies,Paper,15.96,2.00,0.00,7.98,50.00,Profit,Low Sales
Standard Class,Consumer,United States,Lakewood,California,90712,West,Office Supplies,Art,16.90,5.00,0.00,6.25,37.00,Profit,Low Sales
Standard Class,Consumer,United States,Lakewood,California,90712,West,Furniture,Furnishings,25.08,6.00,0.00,9.03,36.00,Profit,Low Sales
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Art,6.68,2.00,0.00,2.00,30.00,Profit,Low Sales
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,19.44,3.00,0.00,9.33,48.00,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Phones,31.92,2.00,0.20,2.39,7.50,Profit,Low Sales
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,33.57,2.00,0.20,11.75,35.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,63.94,1.00,0.00,24.94,39.00,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,60.60,5.00,0.20,20.45,33.75,Profit,Low Sales
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Supplies,22.72,4.00,0.00,6.59,29.00,Profit,Low Sales
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Furniture,Furnishings,10.68,4.00,0.00,4.06,38.00,Profit,Low Sales
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,17.34,3.00,0.00,8.50,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,3.38,1.00,0.00,1.55,46.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,26.98,4.00,0.20,8.77,32.50,Profit,Low Sales
Standard Class,Corporate,United States,Scottsdale,Arizona,85254,West,Office Supplies,Paper,307.78,7.00,0.20,111.57,36.25,Profit,Low Sales
Second Class,Consumer,United States,Oceanside,New York,11572,East,Office Supplies,Storage,244.55,5.00,0.00,4.89,2.00,Profit,Low Sales
Second Class,Consumer,United States,Oceanside,New York,11572,East,Office Supplies,Envelopes,12.24,6.00,0.00,5.75,47.00,Profit,Low Sales
Second Class,Consumer,United States,Oceanside,New York,11572,East,Technology,Accessories,13.98,2.00,0.00,6.01,43.00,Profit,Low Sales
Second Class,Consumer,United States,Oceanside,New York,11572,East,Technology,Accessories,899.95,5.00,0.00,54.00,6.00,Profit,High Sales
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,Envelopes,1.63,1.00,0.20,0.55,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Phones,267.96,5.00,0.20,16.75,6.25,Profit,Low Sales
Second Class,Consumer,United States,Rochester,New York,14609,East,Technology,Accessories,31.95,1.00,0.00,2.24,7.00,Profit,Low Sales
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,725.84,4.00,0.00,210.49,29.00,Profit,High Sales
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,10.90,3.00,0.20,3.95,36.25,Profit,Low Sales
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,8.54,2.00,0.20,2.88,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Woodbury,Minnesota,55125,Central,Office Supplies,Binders,32.34,3.00,0.00,15.52,48.00,Profit,Low Sales
Standard Class,Corporate,United States,Woodbury,Minnesota,55125,Central,Office Supplies,Paper,39.90,5.00,0.00,19.95,50.00,Profit,Low Sales
Standard Class,Consumer,United States,Park Ridge,Illinois,60068,Central,Office Supplies,Paper,143.86,9.00,0.20,48.55,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Paper,41.92,4.00,0.20,15.20,36.25,Profit,Low Sales
Standard Class,Corporate,United States,Dallas,Texas,75217,Central,Technology,Phones,329.58,2.00,0.20,37.08,11.25,Profit,Low Sales
First Class,Corporate,United States,Monroe,Louisiana,71203,South,Office Supplies,Binders,87.28,8.00,0.00,41.02,47.00,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Furniture,Chairs,279.46,6.00,0.20,20.96,7.50,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,8.00,2.00,0.00,3.84,48.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,27.24,5.00,0.20,9.53,35.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Accessories,16.36,1.00,0.00,1.64,10.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,15.78,2.00,0.00,0.63,4.00,Profit,Low Sales
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,45.98,2.00,0.00,12.87,28.00,Profit,Low Sales
Standard Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,198.27,8.00,0.20,-32.22,-16.25,Loss,Low Sales
First Class,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,720.76,5.00,0.20,54.06,7.50,Profit,High Sales
Standard Class,Consumer,United States,Wichita,Kansas,67212,Central,Furniture,Furnishings,70.56,6.00,0.00,23.99,34.00,Profit,Low Sales
Standard Class,Consumer,United States,Wichita,Kansas,67212,Central,Office Supplies,Appliances,81.96,2.00,0.00,22.95,28.00,Profit,Low Sales
Second Class,Corporate,United States,Springfield,Oregon,97477,West,Office Supplies,Appliances,64.86,4.00,0.20,6.49,10.00,Profit,Low Sales
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Phones,151.19,1.00,0.20,13.23,8.75,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Technology,Phones,88.78,3.00,0.20,7.77,8.75,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,11.56,4.00,0.00,5.43,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Storage,15.58,1.00,0.00,3.90,25.00,Profit,Low Sales
First Class,Corporate,United States,Akron,Ohio,44312,East,Office Supplies,Paper,85.06,3.00,0.20,28.71,33.75,Profit,Low Sales
Standard Class,Corporate,United States,Oak Park,Michigan,48237,Central,Furniture,Furnishings,273.96,2.00,0.00,71.23,26.00,Profit,Low Sales
Standard Class,Corporate,United States,Oak Park,Michigan,48237,Central,Furniture,Furnishings,306.90,3.00,0.00,79.79,26.00,Profit,Low Sales
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,15.55,3.00,0.20,5.44,35.00,Profit,Low Sales
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Tables,347.36,7.00,0.30,-69.47,-20.00,Loss,Low Sales
Standard Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,10.37,2.00,0.20,3.63,35.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Technology,Accessories,98.16,6.00,0.00,9.82,10.00,Profit,Low Sales
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,31.44,3.00,0.00,7.86,25.00,Profit,Low Sales
First Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,348.49,7.00,0.20,117.61,33.75,Profit,Low Sales
First Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,172.74,4.00,0.20,-30.23,-17.50,Loss,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,15.54,3.00,0.00,7.61,49.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Machines,105.55,6.00,0.20,35.62,33.75,Profit,Low Sales
Second Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Paper,25.92,5.00,0.20,9.07,35.00,Profit,Low Sales
Second Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Fasteners,15.81,8.00,0.20,5.34,33.75,Profit,Low Sales
Second Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Paper,10.37,2.00,0.20,3.76,36.25,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,358.20,3.00,0.40,41.79,11.67,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,545.92,14.00,0.40,72.79,13.33,Profit,High Sales
Standard Class,Consumer,United States,Rogers,Arkansas,72756,South,Office Supplies,Binders,40.41,9.00,0.00,18.59,46.00,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Phones,167.98,3.00,0.20,10.50,6.25,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,109.53,3.00,0.00,47.10,43.00,Profit,Low Sales
Second Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Labels,9.82,2.00,0.00,4.81,49.00,Profit,Low Sales
Second Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,26.35,3.00,0.20,9.55,36.25,Profit,Low Sales
Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Labels,22.50,6.00,0.00,10.80,48.00,Profit,Low Sales
Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Labels,9.96,2.00,0.00,4.58,46.00,Profit,Low Sales
Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,213.08,7.00,0.00,102.28,48.00,Profit,Low Sales
Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Furniture,Bookcases,1025.88,6.00,0.00,235.95,23.00,Profit,High Sales
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Paper,21.98,7.00,0.00,9.89,45.00,Profit,Low Sales
Same Day,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,63.20,5.00,0.00,23.38,37.00,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Appliances,39.00,12.00,0.00,11.31,29.00,Profit,Low Sales
